x,y,yaw,s,kappa,v_ref
67.0439,-11.8234,-2.60421,56.2500,-0.11121,1.500
66.8363,-11.9435,-2.62981,56.5000,-0.10380,1.500
66.6232,-12.0598,-2.65403,56.7500,-0.09706,1.500
66.4048,-12.1723,-2.67696,57.0000,-0.09092,1.500
66.1815,-12.2812,-2.69871,57.2500,-0.08532,1.500
65.9535,-12.3865,-2.71937,57.5000,-0.08023,1.500
65.7211,-12.4881,-2.73901,57.7500,-0.07559,1.500
65.4846,-12.5862,-2.75771,58.0000,-0.07136,1.500
65.2443,-12.6808,-2.77555,58.2500,-0.06751,1.500
65.0003,-12.7719,-2.79258,58.5000,-0.06399,1.500
64.7530,-12.8596,-2.80887,58.7500,-0.06078,1.500
64.5026,-12.9439,-2.82447,59.0000,-0.05784,1.500
64.2493,-13.0249,-2.83943,59.2500,-0.05516,1.500
63.9933,-13.1027,-2.85379,59.5000,-0.05269,1.500
63.7350,-13.1772,-2.86760,59.7500,-0.05044,1.500
63.4744,-13.2486,-2.88089,60.0000,-0.04836,1.500
63.2118,-13.3168,-2.89371,60.2500,-0.04646,1.500
62.9475,-13.3820,-2.90608,60.5000,-0.04471,1.500
62.6816,-13.4441,-2.91803,60.7500,-0.04309,1.500
62.4142,-13.5033,-2.92959,61.0000,-0.04161,1.500
62.1457,-13.5595,-2.94078,61.2500,-0.04023,1.500
61.8761,-13.6128,-2.95163,61.5000,-0.03896,1.500
61.6056,-13.6633,-2.96217,61.7500,-0.03778,1.500
61.3344,-13.7111,-2.97240,62.0000,-0.03669,1.500
61.0627,-13.7561,-2.98234,62.2500,-0.03568,1.500
60.7905,-13.7985,-2.99202,62.5000,-0.03473,1.500
60.5181,-13.8382,-3.00144,62.7500,-0.03385,1.500
60.2456,-13.8754,-3.01062,63.0000,-0.03303,1.500
59.9731,-13.9100,-3.01957,63.2500,-0.03226,1.500
59.7007,-13.9422,-3.02831,63.5000,-0.03153,1.500
59.4286,-13.9720,-3.03684,63.7500,-0.03085,1.500
59.1568,-13.9994,-3.04516,64.0000,-0.03020,1.500
58.8855,-14.0246,-3.05330,64.2500,-0.02958,1.500
58.6147,-14.0474,-3.06125,64.5000,-0.02899,1.500
58.3446,-14.0681,-3.06902,64.7500,-0.02843,1.500
58.0752,-14.0867,-3.07662,65.0000,-0.02788,1.500
57.8066,-14.1031,-3.08404,65.2500,-0.02735,1.500
57.5389,-14.1176,-3.09130,65.5000,-0.02682,1.500
57.2721,-14.1301,-3.09840,65.7500,-0.02631,1.500
57.0064,-14.1406,-3.10533,66.0000,-0.02580,1.500
56.7416,-14.1493,-3.11209,66.2500,-0.02529,1.500
56.4780,-14.1562,-3.11870,66.5000,-0.02478,1.500
56.2155,-14.1614,-3.12514,66.7500,-0.02426,1.500
55.9541,-14.1649,-3.13142,67.0000,-0.02374,1.500
55.6939,-14.1667,-3.13753,67.2500,-0.02320,1.500
55.4349,-14.1670,-3.14347,67.5000,-0.02264,1.500
55.1771,-14.1658,-3.14924,67.7500,-0.02206,1.500
54.9206,-14.1631,-3.15483,68.0000,-0.02146,1.500
54.6652,-14.1590,-3.16024,68.2500,-0.02084,1.500
54.4110,-14.1536,-3.16546,68.5000,-0.02018,1.500
54.1580,-14.1469,-3.17049,68.7500,-0.01950,1.500
53.9061,-14.1390,-3.17533,69.0000,-0.01878,1.500
53.6554,-14.1300,-3.17995,69.2500,-0.01803,1.500
53.4057,-14.1199,-3.18437,69.5000,-0.01724,1.500
53.1571,-14.1087,-3.18857,69.7500,-0.01642,1.500
52.9095,-14.0966,-3.19254,70.0000,-0.01557,1.500
52.6628,-14.0835,-3.19628,70.2500,-0.01471,1.500
52.4170,-14.0696,-3.19979,70.5000,-0.01383,1.500
52.1721,-14.0549,-3.20308,70.7500,-0.01295,1.500
51.9279,-14.0395,-3.20614,71.0000,-0.01207,1.500
51.6844,-14.0234,-3.20898,71.2500,-0.01119,1.500
51.4416,-14.0067,-3.21159,71.5000,-0.01030,1.500
51.1995,-13.9894,-3.21399,71.7500,-0.00942,1.500
50.9580,-13.9717,-3.21616,72.0000,-0.00855,1.500
50.7169,-13.9534,-3.21812,72.2500,-0.00768,1.500
50.4764,-13.9348,-3.21987,72.5000,-0.00681,1.500
50.2364,-13.9157,-3.22140,72.7500,-0.00596,1.500
49.9967,-13.8964,-3.22273,73.0000,-0.00512,1.500
49.7574,-13.8768,-3.22386,73.2500,-0.00429,1.500
49.5185,-13.8570,-3.22479,73.5000,-0.00348,1.500
49.2798,-13.8370,-3.22552,73.7500,-0.00268,1.500
49.0413,-13.8169,-3.22606,74.0000,-0.00190,1.500
48.8031,-13.7967,-3.22642,74.2500,-0.00113,1.500
48.5651,-13.7764,-3.22659,74.5000,-0.00039,1.500
48.3271,-13.7561,-3.22659,74.7500,0.00034,1.500
48.0893,-13.7359,-3.22642,75.0000,0.00105,1.500
